,Magnitude,Place,Time,Longitude,Latitude,Depth
373,4.0,"Bonin Islands, Japan region",1699418286306,139.4839,27.9289,498.747
372,5.6,"148 km ESE of Kuril’sk, Russia",1699431390853,149.7296,44.9784,77.731
371,4.6,Mariana Islands region,1699451780083,143.0703,21.6122,307.041
370,4.4,"108 km W of Ie, Japan",1699484034055,126.7256,26.8141,119.754
369,4.4,"144 km E of Miyako, Japan",1699510438753,143.6172,39.7647,10.0
368,4.6,"240 km E of Yamada, Japan",1699523103883,144.7163,39.1733,10.0
367,4.2,"Bonin Islands, Japan region",1699531734006,140.1233,27.4908,499.259
366,4.2,"Bonin Islands, Japan region",1699547090724,139.2064,28.626,483.221
365,4.3,"2 km ESE of Machida, Japan",1699578010332,139.4756,35.5275,107.279
364,4.0,"15 km E of Kochi, Japan",1699581247404,133.705,33.5525,31.574
363,4.9,"63 km S of Hualien City, Taiwan",1699635279641,121.5996,23.403,34.076
362,5.3,"12 km SW of Kanoya, Japan",1699649430208,130.7679,31.2909,109.152
361,4.6,"93 km NNE of Hirara, Japan",1699699785711,125.7791,25.5329,23.292
360,4.5,"57 km SW of Kurio, Japan",1699707758347,129.9902,29.912,9.949
359,4.9,"Bonin Islands, Japan region",1699711797914,142.4505,28.9885,22.868
358,4.1,"Izu Islands, Japan region",1699718763523,138.3667,30.5672,425.613
357,4.4,"107 km SSE of Ōyama, Japan",1699723448474,138.5527,33.6738,8.444
356,4.6,"Volcano Islands, Japan region",1699729261298,143.0659,22.4579,136.572
355,4.2,"Izu Islands, Japan region",1699749605357,138.8756,29.8037,412.236
354,4.1,Mariana Islands region,1699780267794,143.3118,21.606,265.742
353,4.4,"91 km SE of Hiroo, Japan",1699786977140,144.0742,41.6996,32.248
352,4.1,"Bonin Islands, Japan region",1699843905278,142.6688,28.4751,10.0
351,4.2,"128 km S of Honchō, Japan",1699849783312,142.9535,40.9732,35.0
350,4.2,"Bonin Islands, Japan region",1699887350230,142.3658,28.8031,10.0
349,4.3,"38 km WSW of Urakawa, Japan",1699917207204,142.3838,41.9769,72.408
348,4.4,"58 km ESE of Tomioka, Japan",1699946700237,141.5951,37.0828,65.45
347,4.6,"196 km SSW of Ishigaki, Japan",1699956896061,123.4639,22.6907,10.0
346,4.3,"18 km S of Nemuro, Japan",1699962146933,145.5747,43.1563,57.481
345,4.4,"7 km NNE of Matsuzaki, Japan",1700011647228,138.8179,34.8135,192.331
344,4.4,Mariana Islands region,1700024619744,144.9329,21.1764,110.053
343,4.5,"Izu Islands, Japan region",1700102968145,137.8886,30.5568,479.511
342,4.4,"98 km E of Hengchun, Taiwan",1700168427075,121.7017,22.0346,10.0
341,4.4,"41 km ESE of Ōfunato, Japan",1700238882215,142.1605,38.9289,55.306
340,4.0,"Maug Islands region, Northern Mariana Islands",1700244006429,144.9276,20.7218,91.026
339,4.4,"243 km ESE of Kamaishi, Japan",1700246842337,144.2908,38.1854,10.0
338,4.4,"140 km SE of Katsuura, Japan",1700272546580,141.3975,34.2551,10.0
337,4.3,"73 km ESE of Shikotan, Russia",1700329295904,147.4844,43.4451,55.845
336,4.3,"16 km NE of Kuril’sk, Russia",1700337960185,148.0246,45.3308,171.481
335,4.7,"Izu Islands, Japan region",1700375736991,142.0638,30.7645,10.0
334,5.0,"76 km SE of Katsuren-haebaru, Japan",1700425483045,128.4509,25.8857,10.0
333,5.8,"82 km ENE of Yokohama, Japan",1700427690533,142.214,41.2349,42.0
332,4.3,"86 km ENE of Mutsu, Japan",1700456467964,142.2265,41.4464,63.542
331,4.5,"81 km N of Hirara, Japan",1700463283859,125.325,25.5391,10.0
330,4.4,"75 km SE of Katsuren-haebaru, Japan",1700508895447,128.4382,25.8749,10.0
329,4.3,"96 km E of Minami-Sōma, Japan",1700515564497,142.0707,37.7212,49.506
328,4.5,"Izu Islands, Japan region",1700550263410,140.871,29.2083,97.606
327,4.6,"Volcano Islands, Japan region",1700587185104,143.2133,22.516,141.081
326,4.2,"47 km ESE of Tatsugō, Japan",1700618622282,130.0506,28.2913,32.348
325,4.1,"Izu Islands, Japan region",1700659407823,138.6971,30.0273,424.163
324,4.2,"63 km ESE of Koseda, Japan",1700671949966,131.2216,30.1019,10.0
323,4.4,"91 km NNW of Hirara, Japan",1700696092544,124.9239,25.5508,108.956
322,4.2,"94 km S of Hualien City, Taiwan",1700713586461,121.5761,23.122,39.249
321,4.3,"112 km E of Miyako, Japan",1700806815469,143.2494,39.6249,22.739
320,4.4,"97 km NNE of Hirara, Japan",1700809619497,125.8091,25.5533,69.077
319,6.9,"Maug Islands region, Northern Mariana Islands",1700816703893,145.5195,20.1319,22.163
318,5.4,"Maug Islands region, Northern Mariana Islands",1700817264228,145.1921,20.1336,10.0
317,5.1,"Maug Islands region, Northern Mariana Islands",1700817407797,145.4625,20.0957,10.0
316,4.8,"Maug Islands region, Northern Mariana Islands",1700817703288,145.3089,20.0971,9.888
315,4.5,"Maug Islands region, Northern Mariana Islands",1700818029658,145.463,20.2054,10.0
314,4.6,"Maug Islands region, Northern Mariana Islands",1700818124365,144.9672,20.0224,10.0
313,5.2,"Maug Islands region, Northern Mariana Islands",1700818210758,145.2906,20.1387,10.0
312,4.7,"Maug Islands region, Northern Mariana Islands",1700818369756,145.1844,20.0694,10.0
311,4.9,"Maug Islands region, Northern Mariana Islands",1700818926519,145.4713,20.1193,10.0
310,4.5,"Maug Islands region, Northern Mariana Islands",1700819016414,145.5819,20.1199,10.0
309,4.5,"Maug Islands region, Northern Mariana Islands",1700819265482,145.5613,20.15,10.0
308,4.8,"Maug Islands region, Northern Mariana Islands",1700819293491,145.3499,20.1476,10.0
307,4.7,"Maug Islands region, Northern Mariana Islands",1700819682486,145.2544,20.267,10.0
306,4.5,"Maug Islands region, Northern Mariana Islands",1700819863216,145.1342,20.0078,10.0
305,4.6,"Maug Islands region, Northern Mariana Islands",1700820176873,145.2497,20.1647,10.0
304,4.4,"Maug Islands region, Northern Mariana Islands",1700820487942,145.5151,20.158,10.0
303,4.6,"Maug Islands region, Northern Mariana Islands",1700820555358,145.5005,20.3603,10.0
302,5.1,"Maug Islands region, Northern Mariana Islands",1700820784095,145.4784,20.1655,10.0
301,4.8,"Maug Islands region, Northern Mariana Islands",1700820859647,145.2852,20.0329,10.0
300,4.7,"Maug Islands region, Northern Mariana Islands",1700821009410,145.4947,20.1455,10.0
299,4.6,"Maug Islands region, Northern Mariana Islands",1700821315274,145.3617,20.1796,10.0
298,4.7,"Maug Islands region, Northern Mariana Islands",1700821510030,145.3812,20.0613,10.0
297,5.1,"Maug Islands region, Northern Mariana Islands",1700821847128,145.4477,20.036,10.0
296,5.1,"Maug Islands region, Northern Mariana Islands",1700822475984,145.4446,20.0893,10.0
295,4.8,"Maug Islands region, Northern Mariana Islands",1700822617393,145.3666,20.0197,10.0
294,4.4,Mariana Islands region,1700823267300,147.2769,20.2725,10.0
293,5.0,"Maug Islands region, Northern Mariana Islands",1700823630984,145.3876,20.1684,10.0
292,4.1,"Maug Islands region, Northern Mariana Islands",1700823875036,145.2615,20.1306,10.0
291,4.6,"Maug Islands region, Northern Mariana Islands",1700825179199,145.2516,20.1599,10.0
290,4.2,"Maug Islands region, Northern Mariana Islands",1700825603650,145.5349,20.2092,10.0
289,3.9,"Maug Islands region, Northern Mariana Islands",1700826656663,145.5169,20.1843,10.0
288,4.2,"Maug Islands region, Northern Mariana Islands",1700826699869,145.3305,20.0236,10.0
287,4.0,"Maug Islands region, Northern Mariana Islands",1700827378190,145.2079,20.0811,10.0
286,4.1,"Maug Islands region, Northern Mariana Islands",1700828813145,145.2962,20.2146,10.0
285,4.1,"Maug Islands region, Northern Mariana Islands",1700829162236,145.388,20.0852,10.0
284,4.6,"Maug Islands region, Northern Mariana Islands",1700830426166,145.343,20.033,10.0
283,4.2,"Maug Islands region, Northern Mariana Islands",1700830936941,145.1664,20.058,10.0
282,4.0,"Maug Islands region, Northern Mariana Islands",1700831940754,145.4547,20.1884,10.0
281,4.2,"Maug Islands region, Northern Mariana Islands",1700832316702,145.5541,20.1489,10.0
280,4.4,"Maug Islands region, Northern Mariana Islands",1700832437504,145.5441,20.2215,10.0
279,4.1,"Maug Islands region, Northern Mariana Islands",1700833672938,145.2669,20.0115,10.0
278,4.9,"Maug Islands region, Northern Mariana Islands",1700835085897,145.3735,20.1181,10.0
277,4.3,"Maug Islands region, Northern Mariana Islands",1700838970902,145.2872,20.031,10.0
276,4.5,"Maug Islands region, Northern Mariana Islands",1700840819843,144.9696,20.1954,10.0
275,4.7,"Maug Islands region, Northern Mariana Islands",1700841893892,145.416,20.0954,10.0
274,5.1,"Maug Islands region, Northern Mariana Islands",1700842842818,145.5723,20.2293,10.0
273,4.3,"Maug Islands region, Northern Mariana Islands",1700844314246,145.0388,20.033,10.0
272,4.6,"Maug Islands region, Northern Mariana Islands",1700844508254,145.2531,20.0313,10.0
271,4.6,"Maug Islands region, Northern Mariana Islands",1700846317529,145.3814,20.2063,10.855
270,4.6,"Maug Islands region, Northern Mariana Islands",1700848745243,145.3533,20.1519,10.0
269,5.0,"Maug Islands region, Northern Mariana Islands",1700851396041,145.4086,20.2156,10.0
268,4.4,"Maug Islands region, Northern Mariana Islands",1700851956563,145.4812,20.0753,10.0
267,4.3,"Maug Islands region, Northern Mariana Islands",1700852169180,145.5763,20.0257,10.0
266,4.2,"Maug Islands region, Northern Mariana Islands",1700852689756,145.45,20.0716,10.031
265,4.2,"Maug Islands region, Northern Mariana Islands",1700860308988,145.4571,20.1394,10.0
264,4.3,"Maug Islands region, Northern Mariana Islands",1700860544279,145.1799,20.0712,10.0
263,4.3,"Maug Islands region, Northern Mariana Islands",1700873486141,145.3031,20.0929,10.0
262,5.1,"Maug Islands region, Northern Mariana Islands",1700873552427,145.276,20.1232,10.0
261,4.5,"3 km N of Funaishikawa, Japan",1700877277848,140.5697,36.4978,71.264
260,4.4,"Maug Islands region, Northern Mariana Islands",1700877526051,145.228,20.0658,9.959
259,4.2,"Maug Islands region, Northern Mariana Islands",1700877755063,145.0959,20.0255,10.0
258,4.6,"Maug Islands region, Northern Mariana Islands",1700878124599,145.2729,20.0042,10.0
257,3.9,"Maug Islands region, Northern Mariana Islands",1700880485776,145.2645,20.1218,10.0
256,4.3,"Maug Islands region, Northern Mariana Islands",1700882080578,145.4769,20.2853,10.0
255,4.3,"Maug Islands region, Northern Mariana Islands",1700883216961,145.1596,20.1606,10.007
254,4.1,"Maug Islands region, Northern Mariana Islands",1700885955619,145.3698,20.1793,10.414
253,3.8,"Maug Islands region, Northern Mariana Islands",1700886978725,145.5399,20.2377,10.02
252,4.1,"Maug Islands region, Northern Mariana Islands",1700892266380,145.3387,20.0895,10.0
251,5.0,"Maug Islands region, Northern Mariana Islands",1700893242087,145.4646,20.0854,10.0
250,4.2,"Maug Islands region, Northern Mariana Islands",1700903038194,145.472,20.2662,10.0
249,3.9,"Maug Islands region, Northern Mariana Islands",1700906105011,145.3579,20.3286,10.0
248,4.4,"Maug Islands region, Northern Mariana Islands",1700907944302,145.2816,20.1659,10.0
247,4.2,"72 km SSE of Yonakuni, Japan",1700910069117,123.3848,23.914,22.368
246,4.3,"Maug Islands region, Northern Mariana Islands",1700923502759,145.099,20.1296,10.0
245,5.6,"Maug Islands region, Northern Mariana Islands",1700925053800,145.5349,20.0637,10.0
244,4.6,"Maug Islands region, Northern Mariana Islands",1700925341994,145.2717,20.1416,10.0
243,4.8,"Maug Islands region, Northern Mariana Islands",1700925627413,145.4111,20.0571,10.0
242,4.2,"Maug Islands region, Northern Mariana Islands",1700926386719,145.0463,20.0306,10.0
241,4.4,"Maug Islands region, Northern Mariana Islands",1700933371706,145.4426,20.0285,10.0
240,4.9,"Maug Islands region, Northern Mariana Islands",1700945646730,145.3723,20.1122,10.0
239,4.1,"20 km WNW of Fukaura, Japan",1700945925012,139.6974,40.6855,191.031
238,4.1,"Maug Islands region, Northern Mariana Islands",1700948716238,145.6699,20.2073,10.0
237,4.3,"Maug Islands region, Northern Mariana Islands",1700952839742,145.6071,20.2504,9.206
236,4.3,"Maug Islands region, Northern Mariana Islands",1700953871961,145.2652,20.122,10.0
235,4.0,"Maug Islands region, Northern Mariana Islands",1700957436088,145.5398,20.2865,9.98
234,4.5,"Maug Islands region, Northern Mariana Islands",1700957582816,145.2908,20.0477,10.0
233,4.8,"112 km ESE of Onagawa Chō, Japan",1700963229705,142.5405,37.9114,32.856
232,4.8,"Maug Islands region, Northern Mariana Islands",1700965269196,145.506,20.2591,10.0
231,4.5,"75 km SW of Yonakuni, Japan",1700971903485,122.4639,23.9905,24.215
230,4.9,"72 km SW of Yonakuni, Japan",1700973070367,122.4844,24.0191,25.584
229,4.0,"Maug Islands region, Northern Mariana Islands",1700975684844,145.3308,20.185,9.449
228,4.2,"Maug Islands region, Northern Mariana Islands",1700983189029,145.1595,20.0737,10.0
227,4.0,"Maug Islands region, Northern Mariana Islands",1700984109322,145.4296,20.1448,10.438
226,3.9,"127 km SSE of Kuril’sk, Russia",1700984536206,148.2792,44.1177,47.403
225,4.4,"Maug Islands region, Northern Mariana Islands",1700987109414,145.141,20.1681,9.816
224,3.9,"Maug Islands region, Northern Mariana Islands",1700989274876,145.2761,20.0216,10.0
223,5.3,"82 km WNW of Ie, Japan",1700991588463,126.9983,26.8593,106.987
222,4.0,"Maug Islands region, Northern Mariana Islands",1700995349860,145.1305,20.0438,10.0
221,4.1,"Maug Islands region, Northern Mariana Islands",1700997041696,145.1948,20.2209,10.0
220,4.6,"Maug Islands region, Northern Mariana Islands",1701000212698,145.2598,20.0677,10.0
219,4.2,"Maug Islands region, Northern Mariana Islands",1701017886051,145.6152,20.2867,10.0
218,3.8,"Maug Islands region, Northern Mariana Islands",1701020243549,145.3922,20.3424,11.147
217,4.4,"69 km E of Minami-Sōma, Japan",1701023110407,141.7612,37.6874,58.815
216,4.8,"Maug Islands region, Northern Mariana Islands",1701027258636,145.4522,20.0915,10.0
215,4.3,"Maug Islands region, Northern Mariana Islands",1701028526791,145.0407,20.0624,10.0
214,4.4,"Maug Islands region, Northern Mariana Islands",1701037634000,145.3066,20.0665,10.0
213,4.5,"Maug Islands region, Northern Mariana Islands",1701039695757,145.7563,20.1426,10.0
212,4.6,"Maug Islands region, Northern Mariana Islands",1701053722890,145.6791,20.7454,35.0
211,4.2,"Maug Islands region, Northern Mariana Islands",1701054478284,145.1147,20.0157,10.0
210,5.0,"Maug Islands region, Northern Mariana Islands",1701066892869,145.3442,20.2649,10.0
209,4.4,"Maug Islands region, Northern Mariana Islands",1701069203393,145.1214,20.1076,10.0
208,4.3,"Maug Islands region, Northern Mariana Islands",1701075814315,145.5752,20.2038,9.916
207,5.0,"Maug Islands region, Northern Mariana Islands",1701079491370,145.4878,20.158,10.0
206,4.7,"129 km SE of Kuril’sk, Russia",1701081848319,149.1312,44.4705,43.953
205,4.2,"Maug Islands region, Northern Mariana Islands",1701084722360,145.3451,20.0432,10.0
204,4.8,"Maug Islands region, Northern Mariana Islands",1701084826022,145.4654,20.0059,10.0
203,4.0,"Maug Islands region, Northern Mariana Islands",1701085070447,145.437,20.0404,10.0
202,4.3,"Maug Islands region, Northern Mariana Islands",1701086247959,145.1523,20.1672,10.0
201,3.8,"Maug Islands region, Northern Mariana Islands",1701087170244,145.0786,20.0439,10.0
200,3.8,"Maug Islands region, Northern Mariana Islands",1701087488459,145.328,20.24,10.0
199,4.6,"Maug Islands region, Northern Mariana Islands",1701096581491,145.1289,20.2211,10.0
198,4.5,"102 km S of Yudomari, Japan",1701098628722,130.4432,29.3106,37.511
197,4.4,"Maug Islands region, Northern Mariana Islands",1701099746935,144.993,20.169,10.0
196,4.5,"Maug Islands region, Northern Mariana Islands",1701108770861,145.1839,20.1873,10.0
195,4.1,"Maug Islands region, Northern Mariana Islands",1701111303335,145.1045,20.1892,10.0
194,4.6,"33 km S of Arai, Japan",1701117322575,137.5687,34.3837,297.938
193,3.9,"Maug Islands region, Northern Mariana Islands",1701117623109,145.3996,20.1259,10.156
192,4.3,"110 km ENE of Hasaki, Japan",1701140576518,141.9688,36.1101,10.0
191,5.0,"133 km SE of Kuril’sk, Russia",1701142669797,149.1778,44.4657,35.0
190,4.4,Mariana Islands region,1701153567263,146.2287,20.2383,35.0
189,4.5,"28 km SE of Yuzhno-Kurilsk, Russia",1701154605590,146.0775,43.8206,122.023
188,4.3,"Maug Islands region, Northern Mariana Islands",1701180134715,145.0672,20.0799,10.907
187,4.5,"100 km WNW of Ie, Japan",1701192844551,126.8152,26.8971,108.511
186,4.4,"Volcano Islands, Japan region",1701198058378,143.486,22.1669,158.571
185,4.4,"92 km NNE of Basco, Philippines",1701205913183,122.3152,21.2227,10.0
184,4.2,"Izu Islands, Japan region",1701219836394,138.8383,31.3056,10.0
183,4.5,"Maug Islands region, Northern Mariana Islands",1701220068846,145.5444,20.0594,10.0
182,4.5,"31 km NNE of Hirara, Japan",1701226061514,125.4397,25.0549,49.49
181,4.5,"Izu Islands, Japan region",1701226677716,139.7503,31.5084,10.0
180,4.4,"Maug Islands region, Northern Mariana Islands",1701231336764,145.3125,20.0043,10.0
179,4.2,"Izu Islands, Japan region",1701232528390,139.1071,30.0205,464.059
178,4.1,"Maug Islands region, Northern Mariana Islands",1701238545604,145.588,20.204,10.04
177,4.7,"19 km SE of Katsuura, Japan",1701272931974,140.4536,35.0124,55.226
176,3.8,"19 km SE of Gyeongju, South Korea",1701287724597,129.3778,35.7301,10.0
175,4.3,"Maug Islands region, Northern Mariana Islands",1701299541252,145.3161,20.2122,10.0
174,4.8,"Maug Islands region, Northern Mariana Islands",1701309498735,145.4301,20.005,10.0
173,4.9,"Bonin Islands, Japan region",1701310491455,142.5034,28.9712,10.0
172,4.5,"Maug Islands region, Northern Mariana Islands",1701337291654,145.3698,20.0941,11.869
171,4.6,"100 km S of Koshima, Japan",1701346605391,130.6944,29.3378,16.167
170,4.4,"2 km WSW of Iwai, Japan",1701396880289,139.8737,36.0422,62.613
169,4.7,"63 km SSE of Onagawa Chō, Japan",1701402733496,141.8354,37.9594,52.051
168,4.5,"Izu Islands, Japan region",1701405283695,141.995,30.4864,21.861
167,4.3,"Maug Islands region, Northern Mariana Islands",1701436026172,145.0434,20.0349,10.0
166,4.3,"Maug Islands region, Northern Mariana Islands",1701465091527,144.9316,20.0516,10.0
165,4.3,"75 km S of Hualien City, Taiwan",1701469649446,121.4821,23.3061,27.877
164,4.4,"Maug Islands region, Northern Mariana Islands",1701473748460,145.2398,20.1528,10.0
163,4.4,"8 km NNW of Semboku, Japan",1701477338208,140.6913,39.776,114.281
162,4.4,"Volcano Islands, Japan region",1701483053608,141.548,24.4227,10.0
161,4.2,"Maug Islands region, Northern Mariana Islands",1701483712641,145.3355,20.2327,10.0
160,4.3,"50 km ENE of Kuril’sk, Russia",1701488295284,148.4406,45.4402,150.218
159,4.3,"165 km WNW of Iheya, Japan",1701547389216,126.4703,27.6777,205.028
158,4.1,"Maug Islands region, Northern Mariana Islands",1701565046536,145.515,20.1703,10.0
157,4.9,"Izu Islands, Japan region",1701641302269,139.6706,31.5297,10.0
156,4.4,"Izu Islands, Japan region",1701657933862,139.6848,31.4463,10.0
155,4.3,"Maug Islands region, Northern Mariana Islands",1701674887675,145.0987,20.3823,10.0
154,4.3,"Maug Islands region, Northern Mariana Islands",1701675063567,145.0046,20.4335,10.0
153,4.1,"Maug Islands region, Northern Mariana Islands",1701678565395,145.0865,20.2287,10.0
152,4.2,"Maug Islands region, Northern Mariana Islands",1701681322642,145.2984,20.0754,10.0
151,4.3,"Maug Islands region, Northern Mariana Islands",1701684935473,144.9993,20.1288,10.0
150,4.3,"Maug Islands region, Northern Mariana Islands",1701685177598,145.1542,20.2233,10.0
149,4.3,"64 km N of Tarama, Japan",1701692912077,124.7789,25.243,89.692
148,4.5,"Maug Islands region, Northern Mariana Islands",1701711885149,145.0735,20.1818,10.0
147,4.2,"Izu Islands, Japan region",1701774581377,139.7791,31.4916,10.0
146,4.6,"Maug Islands region, Northern Mariana Islands",1701784227595,145.3788,20.1771,10.0
145,4.2,"80 km S of Miyakojima, Japan",1701810173980,125.4049,24.0643,10.0
144,4.3,"Bonin Islands, Japan region",1701832022838,142.4754,28.5339,10.0
143,4.1,"7 km N of Inashiki, Japan",1701832119350,140.3382,36.0184,61.285
142,4.1,"175 km NE of Basco, Philippines",1701835643054,123.2201,21.5101,28.093
141,3.9,"Maug Islands region, Northern Mariana Islands",1701840942609,145.3891,20.1784,10.0
140,4.0,northwest of the Kuril Islands,1701891999521,148.1134,48.097,375.915
139,4.3,"46 km ENE of Kuril’sk, Russia",1701916124990,148.4284,45.3902,147.438
138,4.4,"22 km ESE of Kumano, Japan",1701918750279,136.3408,33.8207,387.892
137,4.4,"Izu Islands, Japan region",1701940266214,141.7615,30.7546,25.384
136,4.6,"Bonin Islands, Japan region",1701965115093,142.6069,28.6357,10.0
135,4.1,Mariana Islands region,1701984594553,143.4265,21.6282,299.19
134,4.4,"238 km ESE of Yamada, Japan",1701991667682,144.6214,38.9102,10.0
133,4.0,"Maug Islands region, Northern Mariana Islands",1701999332193,145.1618,20.2357,10.0
132,4.2,"Maug Islands region, Northern Mariana Islands",1702005261884,145.5252,20.178,10.0
131,4.3,"49 km W of Basco, Philippines",1702026342046,121.5064,20.376,61.073
130,4.5,"Maug Islands region, Northern Mariana Islands",1702026433545,145.5448,20.2947,10.0
129,4.2,"22 km SSE of Kanoya, Japan",1702035095171,130.9004,31.1853,70.157
128,4.4,"74 km S of Miyakojima, Japan",1702041086713,125.3006,24.1184,10.0
127,4.3,"134 km SW of Itoman, Japan",1702054912676,126.8582,25.1594,19.825
126,4.5,"37 km W of Yonakuni, Japan",1702102764991,122.6415,24.5302,96.18
125,4.5,"66 km SSE of Wada, Japan",1702105426126,140.2525,34.4731,65.592
124,4.0,"Maug Islands region, Northern Mariana Islands",1702110412835,145.0865,20.2281,10.0
123,4.4,"150 km ESE of Kuril’sk, Russia",1702136131291,149.7003,44.8142,94.468
122,4.4,"63 km ENE of Hasaki, Japan",1702146664016,141.4826,35.9524,34.967
121,4.3,"129 km SSE of Kuril’sk, Russia",1702157403560,148.6956,44.2226,42.816
120,4.2,"Maug Islands region, Northern Mariana Islands",1702157778236,145.2001,20.1175,10.0
119,4.7,"Volcano Islands, Japan region",1702169359464,141.1841,24.6863,187.955
118,4.2,"165 km WNW of Suttsu, Japan",1702175285028,138.2392,43.1071,247.994
117,3.9,"Maug Islands region, Northern Mariana Islands",1702180172772,145.1643,20.1717,10.0
116,4.2,"Maug Islands region, Northern Mariana Islands",1702196300247,145.003,20.2437,10.0
115,4.8,"Maug Islands region, Northern Mariana Islands",1702221886508,145.2814,20.0515,10.0
114,4.2,"Maug Islands region, Northern Mariana Islands",1702225671639,145.3106,20.051,10.0
113,4.0,"Izu Islands, Japan region",1702268873539,141.9586,32.3623,10.0
112,4.4,"65 km ESE of Ōfunato, Japan",1702282150839,142.3649,38.7725,35.0
111,4.3,"5 km N of Nagareyama, Japan",1702297692785,139.9124,35.9088,88.561
110,4.2,"59 km ESE of Katsuren-haebaru, Japan",1702306830040,128.4027,26.0949,10.0
109,4.4,"35 km ESE of Katsuren-haebaru, Japan",1702309296899,128.215,26.2374,25.309
108,4.5,"Maug Islands region, Northern Mariana Islands",1702342542111,145.1077,20.007,10.0
107,4.0,"5 km SE of Chiba, Japan",1702343965315,140.17,35.5688,66.721
106,3.9,"Bonin Islands, Japan region",1702353288692,140.272,27.1364,458.859
105,4.8,"Volcano Islands, Japan region",1702449614473,142.6981,23.1549,75.529
104,4.8,"Maug Islands region, Northern Mariana Islands",1702455288208,145.0858,20.0351,11.57
103,4.0,"137 km NNW of Tarama, Japan",1702487699680,124.3128,25.8578,177.425
102,4.6,"Maug Islands region, Northern Mariana Islands",1702505225044,145.5481,20.0154,10.0
101,4.3,"Izu Islands, Japan region",1702516628355,139.9095,31.5263,10.0
100,4.2,"95 km ENE of Yokohama, Japan",1702546681851,142.3607,41.2662,54.558
99,4.2,"Maug Islands region, Northern Mariana Islands",1702571062241,145.1197,20.1591,10.0
98,4.5,"Volcano Islands, Japan region",1702608050038,142.4821,23.164,108.944
97,4.3,"11 km ESE of Rishiri Town, Japan",1702634439684,141.3315,45.1227,284.322
96,4.4,"8 km ESE of Iwaizumi, Japan",1702685711457,141.8833,39.8135,64.211
95,4.5,"124 km E of Tomioka, Japan",1702692241450,142.4099,37.4842,39.064
94,4.4,"78 km ESE of Katsuren-haebaru, Japan",1702714593993,128.5374,25.959,10.0
93,5.7,"Maug Islands region, Northern Mariana Islands",1702720252897,145.6855,20.2452,10.0
92,4.2,"Maug Islands region, Northern Mariana Islands",1702721406871,145.4771,20.2069,9.493
91,4.8,"Maug Islands region, Northern Mariana Islands",1702721716686,145.4198,20.3111,10.0
90,5.0,"Maug Islands region, Northern Mariana Islands",1702721875037,145.5889,20.0946,10.0
89,4.7,"Maug Islands region, Northern Mariana Islands",1702723487296,145.3661,20.0334,10.0
88,4.5,"Maug Islands region, Northern Mariana Islands",1702725784538,145.4996,20.0637,9.962
87,4.3,"Maug Islands region, Northern Mariana Islands",1702726253400,145.265,20.3031,10.114
86,4.7,"Maug Islands region, Northern Mariana Islands",1702734367081,145.614,20.449,10.0
85,4.5,"Maug Islands region, Northern Mariana Islands",1702736010738,145.6209,20.2797,10.0
84,5.0,"Maug Islands region, Northern Mariana Islands",1702740258954,145.45,20.0602,10.0
83,4.5,"Maug Islands region, Northern Mariana Islands",1702740558897,145.4133,20.1765,10.017
82,4.2,"Maug Islands region, Northern Mariana Islands",1702740984395,145.4664,20.06,10.0
81,4.5,"Maug Islands region, Northern Mariana Islands",1702741246676,145.328,20.1238,10.0
80,4.7,"4 km SE of Fujioka, Japan",1702789899056,139.6826,36.2197,77.918
79,4.1,"49 km SSW of Shikotan, Russia",1702804979546,146.5431,43.3692,51.005
78,4.4,"83 km SE of Taira, Japan",1702810911040,128.6546,26.0318,10.0
77,4.5,"266 km ESE of Onagawa Chō, Japan",1702829826303,144.3904,37.8385,29.218
76,4.2,"92 km SSE of Naze, Japan",1702898928536,129.9196,27.625,10.0
75,4.6,"Maug Islands region, Northern Mariana Islands",1702957402060,145.3771,20.0816,10.0
74,4.3,"Maug Islands region, Northern Mariana Islands",1702957633042,145.2569,20.0623,10.0
73,4.4,"41 km E of Jiufen, Taiwan",1702969287746,122.2488,25.1513,184.352
72,4.5,"91 km SE of Miyakojima, Japan",1702994652124,125.9389,24.1996,10.0
71,4.6,"Maug Islands region, Northern Mariana Islands",1703036289439,145.3678,20.2194,10.0
70,4.2,"Maug Islands region, Northern Mariana Islands",1703039059537,145.3398,20.2463,10.0
69,4.3,"Maug Islands region, Northern Mariana Islands",1703077341464,145.5119,20.3277,10.0
68,4.5,"Izu Islands, Japan region",1703078161298,140.5805,31.1236,64.703
67,4.3,"63 km E of Onagawa Chō, Japan",1703093492771,142.1695,38.521,38.103
66,4.0,northwest of the Kuril Islands,1703110375054,146.9323,47.8709,444.772
65,4.7,"73 km SSE of Hasaki, Japan",1703158191481,141.1851,35.1413,28.061
64,4.5,"82 km SSE of Hasaki, Japan",1703167413305,141.3057,35.0969,10.0
63,5.2,"56 km E of Ōhara, Japan",1703167451571,141.0136,35.2431,10.0
62,4.6,"69 km E of Ōhara, Japan",1703168243770,141.1433,35.1364,10.0
61,4.8,"43 km ESE of Ōhara, Japan",1703170958619,140.8563,35.1595,27.274
60,4.0,"173 km ESE of Makarov, Russia",1703174474007,144.9136,47.9901,477.917
59,4.8,"66 km E of Ōhara, Japan",1703175116366,141.1149,35.1443,20.992
58,4.3,"60 km SSE of Hasaki, Japan",1703183792855,141.1349,35.2448,29.059
